E807 .W44 1983,2.31239E+16,Farewell to the party of Lincoln : Black politics in the age of FDR /,3.184E+13,Main Collection,None,"0e""807 w44 1983", 
E807 .W46 1996,2.31131E+16,The president's man : Leo Crowley and Franklin Roosevelt in peace and war /,3.184E+13,Main Collection,None,"0e""807 w46 1996", 
E807 .W545,2.31199E+16,Majesty & mischief; a mixed tribute to F.D.R.,3.184E+13,Main Collection,None,"0e""807 w545", 
E807 .W58 1990,2.31074E+16,FDR and the news media /,3.184E+13,Main Collection,None,"0e""807 w58 1990", 
E807.1 .B43 2010,2.31188E+16,Eleanor Roosevelt : transformative first lady /,3.184E+13,Main Collection,None,"0e""807.1 b43 2010", 
E807.1.R345 A3 2008,2.31029E+16,"Too close to the sun : growing up in the shadow of my grandparents, Franklin and Eleanor /",3.184E+13,Main Collection,None,"0e""807.1 r345 a3 2008", 
E807.1 .R4 2001,2.31149E+16,The Eleanor Roosevelt encyclopedia /,3.184E+13,Main Collection,None,"0e""807.1 r4 2001", 
E807.1 .R418 1982,2.31184E+16,Mother & daughter : the letters of Eleanor and Anna Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r418 1982", 
E807.1 .R424,2.31197E+16,On my own /,3.184E+13,Main Collection,None,"0e""807.1 r424", 
E807.1 .R428,2.31224E+16,This I remember /,3.184E+13,Main Collection,None,"0e""807.1 r428", 
E807.1 .R428 1975,2.31223E+16,This I remember /,3.184E+13,Main Collection,None,"0e""807.1 r428 1975", 
E807.1.R48 A3 1992,2.31034E+16,The autobiography of Eleanor Roosevelt.,3.184E+13,Main Collection,Missing,"0e""807.1 r48 a3 1992", 
E807.1.R48 A3 1998,2.31246E+16,Empty without you : the intimate letters of Eleanor Roosevelt and Lorena Hickok /,3.184E+13,Main Collection,None,"0e""807.1 r48 a3 1998", 
E807.1.R48 A3 1999,2.31057E+16,Courage in a dangerous world : the political writings of Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 a3 1999", 
E807.1.R48 A4 2001,2.31056E+16,It seems to me : selected letters of Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 a4 2001", 
E807.1.R48 A4 2002,2.31003E+16,Eleanor and Harry : the correspondence of Eleanor Roosevelt and Harry S. Truman /,3.184E+13,Main Collection,None,"0e""807.1 r48 a4 2002", 
E807.1.R48 B45 2017,2.31168E+16,"The firebrand and the First Lady : portrait of a friendship : Pauli Murray, Eleanor Roosevelt, and the struggle for social justice /",3.184E+13,Main Collection,None,"0e""807.1 r48 b45 2017", 
E807.1.R48 B53 1996,2.31025E+16,Casting her own shadow : Eleanor Roosevelt and the shaping of Postwar liberalism /,3.184E+13,Main Collection,None,"0e""807.1 r48 b53 1996", 
E807.1.R48 B88 1984,2.39746E+15,"Eleanor Roosevelt, an eager spirit : the letters of Dorothy Dow, 1933-1945 /",3.184E+13,Main Collection,None,"0e""807.1 r48 b88 1984", 
E807.1.R48 C66 1992,2.31123E+16,Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 c66 1992",v.3
E807.1.R48 C66 1992,2.31123E+16,Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 c66 1992",v.2
E807.1.R48 C66 1992,2.31123E+16,Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 c66 1992",v.1
E807.1.R48 D43 2002,2.31135E+16,Dear Mrs. Roosevelt : letters from children of the Great Depression /,3.184E+13,Main Collection,None,"0e""807.1 r48 d43 2002", 
E807.1.R48 G87 2002,2.31218E+16,Kindred souls : the friendship of Eleanor Roosevelt and David Gurewitsch /,3.184E+13,Main Collection,None,"0e""807.1 r48 g87 2002", 
E807.1.R48 L37,2.31263E+16,"Love, Eleanor : Eleanor Roosevelt and her friends /",3.184E+13,Main Collection,None,"0e""807.1 r48 l37", 
E807.1.R48 L38 1984,2.31065E+16,"A world of love : Eleanor Roosevelt and her friends, 1943-1962 /",3.184E+13,Main Collection,None,"0e""807.1 r48 l38 1984", 
E807.1.R48 O34 2010,2.31119E+16,She was one of us : Eleanor Roosevelt and the American worker /,3.184E+13,Main Collection,None,"0e""807.1 r48 o34 2010", 
E807.1.R48 R65 2002,2.31182E+16,The easy hour /,3.184E+13,Main Collection,None,"0e""807.1 r48 r65 2002", 
E807.1.R48 S34 1987,2.31045E+16,Eleanor Roosevelt : first lady of American liberalism /,3.184E+13,Main Collection,None,"0e""807.1 r48 s34 1987", 
E807.1.R48 W473 2017,2.31835E+16,"The three Graces of Val-Kill : Eleanor Roosevelt, Marion Dickerman, and Nancy Cook in the place they made their own /",3.184E+13,Main Collection,None,"0e""807.1 r48 w473 2017", 
E807.1.R48 W48 1984,2.31144E+16,Without precedent : the life and career of Eleanor Roosevelt /,3.184E+13,Main Collection,None,"0e""807.1 r48 w48 1984", 
E807.1.R48 Y68 1985,2.31096E+16,Eleanor Roosevelt : a personal and public life /,3.184E+13,Main Collection,None,"0e""807.1 r48 y68 1985", 
E807.1 .R539,2.31161E+16,"Eleanor and Franklin : the story of their relationship, based on Eleanor Roosevelt's private papers /",3.184E+13,Main Collection,None,"0e""807.1 r539", 
E807.1 .R574,2.31099E+16,Eleanor: the years alone,3.184E+13,Main Collection,None,"0e""807.1 r574", 
E810 .L33,2.31098E+16,"America at the crossroads. Alfred M. Landon's program for American government. His interpretation of the political, economic and social principles of the Republican party;",3.184E+13,Main Collection,None,"0e""810 l33", 
E811 .D53 1974,2.31283E+16,"Foreign policy and U.S. presidential elections, 1940-1948,",3.184E+13,Main Collection,None,"0e""811 d53 1974", 
E811 .D6,2.31099E+16,Private plans and public dangers : the story of FDR's third nomination /,3.184E+13,Main Collection,None,"0e""811 d6", 
E811 .D86 2013,2.31179E+16,"1940 : FDR, Willkie, Lindbergh, Hitler--the election amid the storm /",3.184E+13,Main Collection,None,"0e""811 d86 2013", 
E811 .P47 2005,2.39647E+15,"Five days in Philadelphia : the amazing ""We want Wilkie!"" convention of 1940 and how it freed FDR to save the Western World /",3.184E+13,Main Collection,None,"0e""811 p47 2005", 
E812 .D38 2014,2.31252E+16,"Politics as usual : Thomas Dewey, Franklin Roosevelt, and the wartime presidential campaign of 1944 /",3.184E+13,Main Collection,None,"0e""812 d38 2014", 
E812 .F47 1994,2.31161E+16,Choosing Truman : the Democratic Convention of 1944 /,3.184E+13,Main Collection,None,"0e""812 f47 1994", 
E812 .G3,2.31099E+16,"The first round; the story of the CIO Political action committee,",3.184E+13,Main Collection,None,"0e""812 g3", 
E812 .J67 2011,2.31004E+16,"FDR, Dewey, and the election of 1944 /",3.184E+13,Main Collection,None,"0e""812 j67 2011", 
E812 .W38 2012,2.31074E+16,Final victory : FDR's extraordinary World War II Presidential Campaign /,3.184E+13,Main Collection,None,"0e""812 w38 2012", 
E812 .W48,2.31098E+16,"An American program,",3.184E+13,Main Collection,None,"0e""812 w48", 
E813 .A2,2.31239E+16,The Truman scandals /,3.184E+13,Main Collection,None,"0e""813 a2", 
E813 .A62,2.31221E+16,The unquiet years : U.S.A. 1945-1955 /,3.184E+13,Main Collection,None,"0e""813 a62", 
E813 .A7,2.31222E+16,"The Truman merry-go-round,",3.184E+13,Main Collection,None,"0e""813 a7", 
E813 .A75,2.31098E+16,Atomic diplomacy: Hiroshima and Potsdam; the use of the atomic bomb and the American confrontation with Soviet power.,3.184E+13,Main Collection,None,"0e""813 a75", 
E813 .A8 1962,2.31222E+16,The era of McCarthyism.,3.184E+13,Main Collection,None,"0e""813 a8 1962", 
E813 .B44 2004,2.3105E+16,The liberal state on trial : the Cold War and American politics in the Truman years /,3.184E+13,Main Collection,None,"0e""813 b44 2004", 
E813 .B45,2.31221E+16,"The Truman administration; a documentary history,",3.184E+13,Main Collection,None,"0e""813 b45", 
E813 .B55,2.31164E+16,The Herblock book /,3.184E+13,Main Collection,None,"0e""813 b55", 
E813 .C68,2.39898E+15,"Containment : documents on American policy and strategy, 1945-1950 /",3.184E+13,Main Collection,None,"0e""813 c68", 
E813 .D57,2.31144E+16,Not to the swift : the old isolationists in the cold war era /,3.184E+13,Main Collection,Missing,"0e""813 d57", 
E813 .D59 1997,2.3105E+16,"Abundance and anxiety : America, 1945-1960 /",3.184E+13,Main Collection,None,"0e""813 d59 1997", 
E813 .D6 1977,2.31203E+16,"Conflict and crisis : the Presidency of Harry S. Truman, 1945-1948 /",3.184E+13,Main Collection,None,"0e""813 d6 1977", 
E813 .D63 1982,2.31168E+16,"Tumultuous years : the presidency of Harry S. Truman, 1949-1953 /",3.184E+13,Main Collection,None,"0e""813 d63 1982", 
E813 .D86 2006,2.31041E+16,America in the fifties /,3.184E+13,Main Collection,None,"0e""813 d86 2006", 
E813 .F6,2.31172E+16,The Forrestal diaries /,3.184E+13,Main Collection,None,"0e""813 f6", 
E813 .F6,2.31172E+16,The Forrestal diaries /,3.184E+13,Main Collection,None,"0e""813 f6", 
E813 .F68 2000,2.3959E+15,To lead the free world : American nationalism and the cultural roots of the Cold War /,3.184E+13,Main Collection,None,"0e""813 f68 2000", 
E813 .F695 2022,2.32952E+16,"The trials of Harry S. Truman : the extraordinary presidency of an ordinary man, 1945-1953 /",3.184E+13,Main Collection,None,"0e""813 f695 2022", 
E813 .F74 1971,2.31099E+16,"The Truman Doctrine and the origins of McCarthyism; foreign policy, domestic politics, and internal security, 1946-1948",3.184E+13,Main Collection,None,"0e""813 f74 1971", 
E813 .G27,2.31098E+16,"Architects of illusion: men and ideas in American foreign policy, 1941-1949 /",3.184E+13,Main Collection,None,"0e""813 g27", 
E813 .G27,2.31098E+16,"Architects of illusion: men and ideas in American foreign policy, 1941-1949 /",3.184E+13,Main Collection,None,"0e""813 g27", 
E813 .G6,2.31221E+16,"The crucial decade : America, 1945-1955.",3.184E+13,Main Collection,None,"0e""813 g6", 
E813 .H26,2.31098E+16,Beyond the New Deal: Harry S. Truman and American liberalism,3.184E+13,Main Collection,None,"0e""813 h26", 
E813 .H26,2.31098E+16,Beyond the New Deal: Harry S. Truman and American liberalism,3.184E+13,Main Collection,None,"0e""813 h26", 
E813 .H27 1974,2.31043E+16,Harry S. Truman and the Fair Deal /,3.184E+13,Main Collection,None,"0e""813 h27 1974", 
E813 .H366,2.31098E+16,"The politics of loyalty; the White House and the Communist issue, 1946-1952",3.184E+13,Main Collection,None,"0e""813 h366", 
E813 .H39,2.31099E+16,Truman and the 80th Congress,3.184E+13,Main Collection,None,"0e""813 h39", 
E813 .H58 1998,2.31247E+16,"A cross of iron : Harry S. Truman and the origins of the national security state, 1945-1954 /",3.184E+13,Main Collection,None,"0e""813 h58 1998", 
E813 .H6,2.31093E+16,"Addresses upon the American road, 1948-1950.",3.184E+13,Main Collection,None,"0e""813 h6", 
E813 .H8 1959,2.31126E+16,"America the vincible. A brief inquiry, written with much anxiety and some anger, dealing with matters of foreign policy, seeking probable sources of our peril and causes of our fears, as well as the suggestion of possible ways by which we might, while enduring the stern trial, hold hope, tempered by reason, to live in freedom more profound & peace less precarious.",3.184E+13,Main Collection,None,"0e""813 h8 1959", 
E813 .I54 2008,2.31111E+16,"Religion and American foreign policy, 1945-1960 : the soul of containment /",3.184E+13,Main Collection,None,"0e""813 i54 2008", 
E813 .J6 1964,2.31093E+16,"The fifteen weeks, February 21-June 5, 1947.",3.184E+13,Main Collection,None,"0e""813 j6 1964", 
E813 .K37 1999,2.31107E+16,"Architects of intervention : the United States, the Third World, and the Cold War, 1946-1962 /",3.184E+13,Main Collection,None,"0e""813 k37 1999", 
E813 .L45 1991,2.3103E+16,"A preponderance of power : national security, the Truman administration, and the Cold War /",3.184E+13,Main Collection,None,"0e""813 l45 1991", 
E813 .M32,2.31093E+16,"Quest and response; minority rights and the Truman administration,",3.184E+13,Main Collection,None,"0e""813 m32", 
E813 .M57 2007,2.31126E+16,"From Roosevelt to Truman : Potsdam, Hiroshima, and the Cold War /",3.184E+13,Main Collection,None,"0e""813 m57 2007", 
E813 .O55 1986,2.31234E+16,"American high : the years of confidence, 1945-1960 /",3.184E+13,Main Collection,Missing,"0e""813 o55 1986", 
E813 .P5 1966,2.31223E+16,The Truman Presidency : the history of a triumphant succession /,3.184E+13,Main Collection,None,"0e""813 p5 1966", 
E813 .P6 1970,2.31092E+16,Politics and policies of the Truman Administration.,3.184E+13,Main Collection,None,"0e""813 p6 1970", 
E813 .R4,2.31093E+16,"United States foreign policy, 1945-1955,",3.184E+13,Main Collection,None,"0e""813 r4", 
E813 .R56 1999,2.39986E+15,The Cold War comes to Main Street : America in 1950 /,3.184E+13,Main Collection,None,"0e""813 r56 1999", 
E813 .R57 v.1,2.31115E+16,Dubious victory : the United States and the end of World War II /,3.184E+13,Main Collection,None,"0e""813 r57 v 1", 
E813 .S54 2013,2.31168E+16,Harry Truman and the struggle for racial justice /,3.184E+13,Main Collection,None,"0e""813 s54 2013", 
E813 .T48,2.31172E+16,Seeds of repression : Harry S. Truman and the origins of McCarthyism /,3.184E+13,Main Collection,None,"0e""813 t48", 
E813 .T48,2.31172E+16,Seeds of repression : Harry S. Truman and the origins of McCarthyism /,3.184E+13,Main Collection,None,"0e""813 t48", 
E813 .T5,2.31158E+16,"The Yalta myths: an issue in U.S. politics, 1945-1955",3.184E+13,Main Collection,None,"0e""813 t5", 
E813 .T68,2.31171E+16,The Truman administration : its principles and practice /,3.184E+13,Main Collection,None,"0e""813 t68", 
E813 .T72,2.31128E+16,The Truman period as a research field.,3.184E+13,Main Collection,None,"0e""813 t72", 
E813 .T73,2.3127E+16,"The Truman period as a research field, a reappraisal, 1972.",3.184E+13,Main Collection,None,"0e""813 t73", 
E813 .T74 1989,2.39762E+15,The Truman presidency /,3.184E+13,Main Collection,None,"0e""813 t74 1989", 
E813 .T82,2.31154E+16,Off course; from Truman to Nixon,3.184E+13,Main Collection,None,"0e""813 t82", 
E813 .V3,2.31222E+16,The private papers of Senator Vandenberg /,3.184E+13,Main Collection,None,"0e""813 v3", 
E813 .W58 1991,2.31013E+16,Dawning of the Cold War : the United States' quest for order /,3.184E+13,Main Collection,None,"0e""813 w58 1991", 
E814 .A4 1982b,2.31043E+16,Strictly personal and confidential : the letters Harry Truman never mailed /,3.184E+13,Main Collection,None,"0e""814 a4 1982b 0", 
